No.,Store,Category,Brand,Character,Product Name,OY link,Description,Image,Price 1 (HKD),Price 1 Date,Price 2 Date,Price 2 (HKD),Detail Image,Fetured,Generate_IG
oy017,Olive ,COSMETICS,AMUSE,,DEW WEAR FOUNDATION ???,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188894&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=26&dispCatNo=1000001000200010002&trackingCd=Result_11_30,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018889431ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,220,5/9,30/9,230,http://image1.shilladfs.com/descgoods/2025/07/16/20250716_172044898_00039.jpg,,
oy018,Olive ,COSMETICS,BANILA CO.,,COVERLICIOUS SERUM FOUNDATION ??? 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212949&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=banila%20co&t_number=27&dispCatNo=1000001000200010002&trackingCd=Result_11_30,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021294918ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,195,5/9,30/9,220,"details/oy01801.jpg,details/oy01802.jpg,details/oy01803.jpg,details/oy01804.jpg,details/oy01805.jpg,details/oy01806.jpg,details/oy01807.gif,details/oy01808.jpg,details/oy01809.gif,details/oy01810.jpg,details/oy01811.jpg,details/oy01812.jpg,details/oy01813.jpg,details/oy01814.jpg,details/oy01815.gif,details/oy01816.jpg,details/oy01817.jpg,details/oy01818.jpg,details/oy01819.jpg,details/oy01820.jpg,details/oy01821.jpg,details/oy01822.jpg,details/oy01823.jpg,details/oy01824.jpg,details/oy01825.gif,details/oy01826.jpg,details/oy01827.jpg,details/oy01828.jpg,details/oy01829.jpg,details/oy01830.jpg,details/oy01831.jpg,details/oy01832.jpg,details/oy01833.jpg,details/oy01834.jpg,details/oy01835.jpg,details/oy01836.jpg,details/oy01837.jpg,details/oy01838.jpg,details/oy01839.jpg,details/oy01840.jpg,details/oy01841.jpg,details/oy01842.jpg,details/oy01843.jpg,details/oy01844.jpg,details/oy01845.jpg,details/oy01846.jpg,details/oy01847.jpg,details/oy01848.jpg,details/oy01849.jpg,details/oy01850.jpg",,
oy019,Olive ,COSMETICS,BANILA CO.,,[NEW] SHEER BLUR POT,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254730&dispCatNo=9000002&trackingCd=BrandA002759_PROD&t_page=%EB%B8%8C%EB%9E%9C%EB%93%9C%EA%B4%80&t_click=%EC%A0%84%EC%B2%B4%EC%83%81%ED%92%88_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025473038ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,105,5/9,30/9,125,"details/oy01901.jpg,details/oy01902.jpg,details/oy01903.jpg,details/oy01904.jpg,details/oy01905.jpg,details/oy01906.jpg,details/oy01907.jpg,details/oy01908.jpg,details/oy01909.jpg,details/oy01910.jpg,details/oy01911.jpg,details/oy01912.jpg,details/oy01913.gif,details/oy01914.jpg,details/oy01915.jpg,details/oy01916.jpg,details/oy01917.jpg,details/oy01918.jpg,details/oy01919.jpg,details/oy01920.jpg,details/oy01921.jpg,details/oy01922.jpg,details/oy01923.gif,details/oy01924.jpg,details/oy01925.jpg,details/oy01926.jpg,details/oy01927.jpg,details/oy01928.jpg,details/oy01929.jpg,details/oy01930.jpg,details/oy01931.jpg,details/oy01932.jpg,details/oy01933.jpg,details/oy01934.jpg,details/oy01935.jpg,details/oy01936.jpg,details/oy01937.jpg,details/oy01938.jpg,details/oy01939.jpg,details/oy01940.jpg,details/oy01941.jpg,details/oy01942.jpg,details/oy01943.jpg,details/oy01944.jpg,details/oy01945.jpg,details/oy01946.jpg,details/oy01947.jpg,details/oy01948.jpg,details/oy01949.jpg,details/oy01950.jpg",Y,Y
oy020,Olive ,COSMETICS,BANILA CO.,,PRIME PRIMER CLASSIC ??? 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253094&dispCatNo=1000001000200010003&trackingCd=Result_7,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025309407ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,135,5/9,30/9,180,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777341480067.jpg?SF=webp,Y,Y
oy021,Olive ,COSMETICS,BANILA CO.,,[RENEWAL] PRIME PRIMER HYDRATING ??? 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254261&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=banila%20co&t_number=36&dispCatNo=1000001000200010003&trackingCd=Result_31_60,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025426101ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,135,5/9,30/9,148,"details/oy02101.jpg,details/oy02102.jpg,details/oy02103.jpg,details/oy02104.jpg,details/oy02105.jpg,details/oy02106.jpg,details/oy02107.gif,details/oy02108.jpg,details/oy02109.jpg,details/oy02110.gif,details/oy02111.jpg,details/oy02112.jpg,details/oy02113.jpg,details/oy02114.jpg,details/oy02115.jpg,details/oy02116.jpg,details/oy02117.jpg,details/oy02118.jpg,details/oy02119.jpg,details/oy02120.jpg,details/oy02121.jpg,details/oy02122.jpg,details/oy02123.jpg,details/oy02124.jpg,details/oy02125.jpg,details/oy02126.jpg,details/oy02127.jpg,details/oy02128.jpg,details/oy02129.jpg,details/oy02130.jpg,details/oy02131.jpg,details/oy02132.jpg,details/oy02133.jpg,details/oy02134.jpg,details/oy02135.jpg,details/oy02136.jpg,details/oy02137.jpg,details/oy02138.jpg,details/oy02139.jpg,details/oy02140.jpg,details/oy02141.jpg,details/oy02142.jpg,details/oy02143.jpg,details/oy02144.jpg,details/oy02145.jpg,details/oy02146.jpg,details/oy02147.jpg,details/oy02148.jpg,details/oy02149.jpg,details/oy02150.jpg",Y,Y
oy022,Olive ,COSMETICS,BANILA CO.,,PRIME PRIMER SETTING FIXER 100ML,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253097&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=banila%20co&t_number=38&dispCatNo=1000001000200010010&trackingCd=Result_31_60,,https://static.lottedfs.cn/prod/prd-img/63/50/43/01/00/02/20001435063_1.webp/dims/resize/460x460,125,5/9,30/9,135,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777340785837.jpg?SF=webp,Y,Y
oy023,Olive ,COSMETICS,BANILA CO.,,MOOD ON EYE PALETTE,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000172594&dispCatNo=1000001000200070003&trackingCd=Result_8,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A000000172594110ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,98,5/9,30/9,135,"details/oy0231.jpg,details/oy0232.jpg,details/oy0233.jpg,details/oy0234.jpg,details/oy0235.gif,details/oy0236.jpg,details/oy0237.jpg,details/oy0238.jpg,details/oy02309.jpg,details/oy02310.jpg,details/oy02311.jpg,details/oy02312.jpg,details/oy02313.jpg,details/oy02314.jpg,details/oy02315.jpg,details/oy02316.jpg,details/oy02317.jpg,details/oy02318.jpg,details/oy02319.gif,details/oy02320.jpg,details/oy02321.jpg,details/oy02322.jpg,details/oy02323.jpg,details/oy02324.jpg,details/oy02325.jpg,details/oy02326.jpg,details/oy02327.jpg,details/oy02328.jpg,details/oy02329.jpg,details/oy02330.jpg,details/oy02331.jpg,details/oy02332.jpg,details/oy02333.jpg,details/oy02334.jpg,details/oy02335.jpg,details/oy02336.jpg,details/oy02337.jpg,details/oy02338.jpg,details/oy02339.jpg,details/oy02340.jpg,details/oy02341.jpg,details/oy02342.jpg,details/oy02343.jpg,details/oy02344.jpg,details/oy02345.jpg,details/oy02346.jpg,details/oy02347.jpg,details/oy02348.jpg,details/oy02349.jpg,details/oy02350.jpg",,
oy024,Olive ,COSMETICS,BANILA CO.,,ESSENCE SKIN PINK CUSHION (+REFILL),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212929&dispCatNo=1000001000200010009&trackingCd=Result_31_60,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021292934ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,220,5/9,30/9,300,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202601/1768897918947.jpg?SF=webp,,
oy025,Olive ,COSMETICS,BANILA CO.,,PRIME PRIMER FINISH POWDER 12G,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253093&dispCatNo=1000001000200010004&trackingCd=Result_1,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025309302ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,125,5/9,30/9,180,"details/C02601.jpg,details/C02602.jpg,details/C02603.jpg,details/C02604.jpg,details/C02605.jpg,details/C02606.jpg,details/C02607.jpg,details/C02608.jpg,details/C02609.jpg,details/C02610.jpg,details/C02611.jpg,details/C02612.jpg,details/C02613.jpg,details/C02614.jpg,details/C02615.jpg,details/C02616.jpg,details/C02617.jpg,details/C02618.jpg,details/C02619.jpg,details/C02620.jpg,details/C02621.jpg,details/C02622.jpg,details/C02623.jpg,details/C02624.jpg,details/C02625.jpg,details/C02626.jpg,details/C02627.jpg,details/C02628.jpg,details/C02629.jpg,details/C02630.jpg,details/C02631.jpg,details/C02632.jpg,details/C02633.jpg,details/C02634.jpg,details/C02635.jpg,details/C02636.jpg,details/C02637.jpg,details/C02638.jpg,details/C02639.jpg,details/C02640.jpg,details/C02641.jpg,details/C02642.jpg,details/C02643.jpg,details/C02644.jpg,details/C02645.jpg,details/C02646.jpg,details/C02647.jpg,details/C02648.jpg,details/C02649.jpg,details/C02650.jpg",Y,Y
oy026,Olive ,COSMETICS,BANILA CO.,,Romantic Blush Lip & Cheek 26 Colors,"https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225047&dispCatNo=1000001000200060001,1000001000200060007&trackingCd=Result_11_30",,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022504763ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,105,5/9,30/9,150,"details/oy02601.jpg,details/oy02602.jpg,details/oy02603.gif,details/oy02604.jpg,details/oy02605.jpg,details/oy02606.jpg,details/oy02607.gif,details/oy02608.jpg,details/oy02609.jpg,details/oy02610.jpg,details/oy02611.jpg,details/oy02612.jpg,details/oy02613.jpg,details/oy02614.jpg,details/oy02615.gif,details/oy02616.jpg,details/oy02617.gif,details/oy02618.jpg,details/oy02619.gif,details/oy02620.jpg,details/oy02621.jpg,details/oy02622.jpg,details/oy02623.jpg,details/oy02624.jpg,details/oy02625.jpg,details/oy02626.jpg,details/oy02627.jpg,details/oy02628.jpg,details/oy02629.jpg,details/oy02630.jpg,details/oy02631.jpg,details/oy02632.jpg,details/oy02633.jpg,details/oy02634.jpg,details/oy02635.jpg,details/oy02636.jpg,details/oy02637.jpg,details/oy02638.jpg,details/oy02639.jpg,details/oy02640.jpg,details/oy02641.jpg,details/oy02642.jpg,details/oy02643.jpg,details/oy02644.jpg,details/oy02645.jpg,details/oy02646.jpg,details/oy02647.jpg,details/oy02648.jpg,details/oy02649.jpg,details/oy02650.jpg",,
